State,Year,Stn-Comm-CO2,Stn-Comm-CH4,Stn-Comm-N2O,Stn-Elec-CO2,Stn-Elec-CH4,Stn-Elec-N2O,Stn-Coke-CO2,Stn-Coke-CH4,Stn-Coke-N2O,Stn-Indu-CO2,Stn-Indu-CH4,Stn-Indu-N2O,Stn-Petr-CO2,Stn-Petr-CH4,Stn-Petr-N2O,Stn-NatG-CO2,Stn-NatG-CH4,Stn-NatG-N2O,Stn-TOT-CO2,Stn-TOT-CH4,Stn-TOT-N2O,Mob-MGas-CO2,Mob-MGas-CH4,Mob-MGas-N2O,Mob-AGas-CO2,Mob-AGas-CH4,Mob-AGas-N2O,Mob-JetK-CO2,Mob-JetK-CH4,Mob-JetK-N2O,Mob-DslO-CO2,Mob-DslO-CH4,Mob-DslO-N2O,Mob-RFO-CO2,Mob-RFO-CH4,Mob-RFO-N2O,Mob-LPG-CO2,Mob-LPG-CH4,Mob-LPG-N2O,Mob-TOT-CO2,Mob-TOT-CH4,Mob-TOT-N2O,PtS-all-CO2,PtS-all-CH4,NGS-all-CO2,NGS-all-CH4,ClM-SurM-CH4,ClM-UngM-CH4,ClM-AbnM-CH4,ClM-TOT-CH4,Dom-TOT-CO2,Dom-TOT-CH4,Dom-TOT-N2O,Exp-TOT-CO2,Exp-TOT-CH4,Exp-TOT-N2O,All-TOT-CO2,All-TOT-CH4,All-TOT-N2O,Bio-TOT-CO2,NET-TOT-CO2
Alabama,2005,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0.000009,0.000022,1.5,0.00069,0.0008,1.5,0.0007,0.00082,0.0219,0.000041,0.000552,0.00005,-,-,0.0051,-,-,0.00951,-,0.000006,0.00059,-,-,0.0000098,-,-,0.037,0.000041,0.00056,0.00001,0.00012,0.002,0.012,0,1.58,0,1.6,1.5,1.6,0.0014,0.065,0.000032,0.000051,1.6,1.6,0.0014,-1.4,0.2
Alabama,2006,0.000002189,6.38E-09,0.000000011,0.0008547,0.00000246,0.0000043,0.0002,0.0000005,0.0000009,0.000056,0.00000016,0.00000029,0.0047,0.0000045,0.000011,1.5,0.0007,0.00081,1.5,0.00071,0.00083,0.0116,0.00002,0.000274,0.00003,-,-,0.0026,-,-,0.00527,-,0.000003,0.00042,-,-,0.0000058,-,-,0.02,0.00002,0.00028,0.0000022,0.000097,0.0021,0.013,0,0.913,0,0.91,1.5,0.93,0.0011,0.063,0.000032,0.000045,1.6,0.93,0.0011,1.3,2.9
Alabama,2007,0,0,0,0.03062,0.0000881,0.00015,0.005,0.00002,0.00003,0.0019,0.0000056,0.0000098,0.0033,0.0000032,0.0000076,1.2,0.00055,0.00063,1.2,0.00067,0.00083,0.0082,0.000013,0.000165,0.00002,-,-,0.0018,-,-,0.00377,-,0.000003,0.0003,-,-,0.0000035,-,-,0.014,0.000013,0.00017,0.0000021,0.000098,0.0023,0.013,0,1.21,0,1.2,1.3,1.2,0.001,0.076,0.000098,0.00016,1.3,1.2,0.0012,4.3,5.6
Alabama,2008,0,0,0,0.5726,0.00165,0.0029,0.1,0.0003,0.0006,0.04,0.00011,0.0002,0.0027,0.0000026,0.0000062,1.2,0.00056,0.00064,1.9,0.0026,0.0043,0.00661,0.00001,0.000129,0.00002,-,-,0.0015,-,-,0.00302,-,0.000003,0.00022,-,-,0.0000054,-,-,0.011,0.00001,0.00013,0.0000021,0.000097,0.0023,0.012,0,1.43,0,1.4,1.9,1.4,0.0045,0.54,0.0016,0.0028,2.5,1.4,0.0072,-1.6,0.9
Alabama,2009,0,0,0,1.462,0.00421,0.0074,0.2,0.0007,0.001,0.083,0.00024,0.00042,0.0019,0.0000019,0.0000045,1,0.0005,0.00057,2.7,0.0057,0.0094,0.00509,0.0000074,0.0000943,0.00001,-,-,0.0011,-,-,0.0022,-,0.000003,0.00011,-,-,0.000002,-,-,0.0085,0.0000074,0.000097,0.0000035,0.00017,0.0023,0.012,0,1.41,0,1.4,2.8,1.4,0.0095,1.4,0.0043,0.0075,4.2,1.4,0.017,-4.9,-0.7
Alabama,2010,0,0,0,1.834,0.00528,0.0093,0.3,0.001,0.002,0.11,0.00033,0.00057,0.0022,0.0000022,0.0000053,0.96,0.00045,0.00052,3.2,0.0071,0.012,0.00539,0.0000084,0.0000947,0.00001,-,-,0.0012,-,-,0.00241,-,0.000002,0.00013,-,-,0.0000028,-,-,0.0091,0.0000084,0.000097,0.000016,0.00021,0.0023,0.012,0,1.14,0,1.1,3.2,1.2,0.012,2.1,0.0067,0.012,5.3,1.2,0.024,-2.6,2.7
Alabama,2011,0,0,0,1.717,0.00494,0.0087,0.3,0.0009,0.002,0.13,0.00036,0.00063,0.0019,0.0000018,0.0000045,0.84,0.0004,0.00046,3,0.0066,0.012,0.0049,0.0000073,0.0000825,0.00001,-,-,0.0011,-,-,0.0023,-,0.000002,0.000078,-,-,0.0000028,-,-,0.0084,0.0000073,0.000085,0.000017,0.00023,0.0021,0.01,0,1.82,0,1.8,3,1.8,0.012,2.5,0.008,0.014,5.5,1.8,0.026,-2.8,2.7
Alabama,2012,0,0,0,1.075,0.00309,0.0054,0.3,0.0009,0.002,0.079,0.00023,0.0004,0.0017,0.0000016,0.000004,0.9,0.00043,0.00049,2.4,0.0047,0.0083,0.00447,0.0000063,0.0000659,0.00001,-,-,0.001,-,-,0.002,-,0.000002,0.000076,-,-,0.0000027,-,-,0.0076,0.0000063,0.000068,0.000016,0.00023,0.0021,0.01,0,1.2,0,1.2,2.4,1.2,0.0084,1.9,0.0058,0.01,4.2,1.2,0.019,-1.6,2.6
Alabama,2013,0,0,0,0.4448,0.00128,0.0023,0.2,0.0006,0.001,0.054,0.00016,0.00027,0.0015,0.0000014,0.0000034,0.62,0.00029,0.00034,1.3,0.0023,0.0039,0.00393,0.0000055,0.0000508,0.000009,-,-,0.00087,-,-,0.00174,-,0.000002,0.000061,-,-,0.0000023,-,-,0.0066,0.0000055,0.000053,0.000015,0.00025,0.0022,0.01,0,1.6,0,1.6,1.3,1.6,0.004,1.1,0.0038,0.0066,2.5,1.6,0.011,-5.1,-2.6
Alabama,2014,0,0,0,0.01672,0.0000481,0.000085,0.009,0.00003,0.00005,0.0029,0.0000085,0.000015,0.0014,0.0000013,0.0000032,0.77,0.00036,0.00042,0.8,0.00045,0.00057,0.00364,0.0000047,0.0000407,0.000009,-,-,0.00081,-,-,0.00166,-,0.000001,0.000037,-,-,0.0000023,-,-,0.0062,0.0000047,0.000042,0.000018,0.00034,0.0025,0.01,0,1.31,0,1.3,0.81,1.3,0.00061,0.11,0.00022,0.00038,0.91,1.3,0.00099,-3.4,-2.5
